id,deliverTime,distance,idshop,minDeliverFee,minFee,mtWmPoiId,name,shopOpenStatus,sold,star
127,56,0,75789437,0.0,0.0,1867758,缘心蛋糕坊（万柳店）,0,4,0
128,56,0,76836924,10.0,0.0,1907574,叫个鸡,0,75,48
129,60,0,26142387,10.0,0.0,986921,先花店（北京海淀区分店）,0,0,0
130,33,0,8031207,7.0,20.0,797459,串串先生（中关村店）,0,21,47
131,75,0,67637120,19.0,49.0,1243691,麻辣源（西坝河店）,0,387,46
132,49,0,6526138,40.0,35.0,485746,建国超市,0,492,48
133,50,0,65446748,31.0,58.0,1157517,家品进口小食,0,110,48
134,70,0,58631005,40.0,200.0,929552,猫山王榴莲甜品MusangKing（猫叔爱琴海店）,0,72,49
135,39,0,69419758,3.0,0.0,1634278,年年余老坛酸菜鱼,0,1665,46
136,56,0,67384578,8.0,0.0,1167158,榴莲榴趣,0,18,0
137,38,0,66184946,3.0,0.0,929560,原味觉醒,0,1986,48
138,69,0,2269702,25.0,100.0,745782,卓越烤鸭店,0,209,47
139,72,0,21069484,6.8,55.0,87690,世界迷浆,0,284,47
140,40,0,90105828,2.0,0.0,12826,张姐烤肉饭,0,3527,44
141,50,0,65645841,46.0,138.0,979719,便民水果蔬菜超市,1,0,0
142,61,0,90965180,3.0,20.0,1167138,江依林米线吧,1,52,45
143,62,0,68929444,30.0,168.0,1431235,九州达隆蔬菜水果,1,150,50
144,60,0,55007445,19.0,100.0,757294,薇薇鲜花,0,0,0
145,60,0,77491601,0.0,0.0,1545794,花美丽鲜花,0,70,50
146,36,0,18039986,4.0,0.0,784820,小米粒粥铺（中关村店）,0,3137,44
147,35,0,69868323,4.0,15.0,1651097,轻新派健康小份菜（财智大厦店）,0,508,45
148,55,0,11562587,6.0,20.0,893163,觅秘烧烤居酒屋,0,3,0
149,50,0,2664487,5.0,20.0,897500,中国兰州拉面清真（保福寺店）,0,50,50
150,56,0,69337145,9.0,35.0,1549571,榴莲爱上芒,0,16,0
151,49,0,43560701,40.0,30.0,485706,陆丰烟酒水果超市,0,536,49
152,37,0,65540062,7.0,15.0,2329672,牛肉范儿（中关村店）,0,1587,47
153,40,0,82866147,0.0,100.0,2126851,爱仕图尔美酒,0,0,0
154,71,0,66401182,65.0,20.0,1101269,百果园水果批发（八里桥）,0,89,47
155,74,0,19801024,0.0,0.0,497573,维思客蛋糕（五店）,0,88,44
156,60,0,79273405,0.0,0.0,2003976,IF品牌鲜花馆,0,0,0
157,64,0,69691581,3.0,40.0,1603473,欧麦面包坊,0,307,47
158,56,0,50665497,3.0,38.0,516128,美食美味炸鸡店,0,7,0
159,37,0,58711762,3.0,15.0,761839,沈阳小吃老崔麻辣拌,0,2261,47
160,60,0,26211834,0.0,0.0,818764,先花店(北京东城区分店),0,3,0
161,37,0,32843115,4.0,15.0,849906,麻辣香锅（中关村店）,0,209,44
162,42,0,57475398,4.0,0.0,572394,杨国福麻辣烫（中关村店）,0,707,43
163,50,0,68066402,33.0,108.0,1373815,吃货乐园,0,91,48
164,60,0,66989751,0.0,0.0,1061854,爱时最美鲜花,1,0,0
165,56,0,80993192,66.0,0.0,2098061,利丰水果经销部,1,0,0
166,64,0,67804265,15.0,0.0,145073,友谊鲜果,1,145,45
167,64,0,83437823,46.0,38.0,2144620,倍儿鲜挪威三文鱼·日料寿司,0,795,47
168,52,0,77709481,5.0,0.0,2054989,木木韩式料理石锅拌饭,0,84,46
169,60,0,68124944,0.0,0.0,1386544,魔幻鲜花,0,33,50
170,72,0,76986553,50.0,79.0,1941818,鲜肉蔬菜店（石榴园店）,0,117,45
171,56,0,67798365,28.0,288.0,1305041,春小果水果超市,0,7,0
172,56,0,79717343,29.0,80.0,2070044,海鲜厨房_小龙虾外卖,0,49,50
173,50,0,50684833,19.0,100.0,312373,食牛族私房牛肉外卖,0,461,47
174,168,0,69080157,0.0,0.0,1464811,啡法集会千层榴莲蛋糕店,0,48,50
175,50,0,63051702,30.0,110.0,823624,CFB炸鸡啤酒（亚运村店）,0,788,48
176,118,0,66151745,0.0,0.0,924838,幸福西饼蛋糕（朝阳店）同城配送,0,283,48
177,37,0,59125196,3.0,15.0,892971,好私烧便当,0,864,48
178,35,0,3172144,5.0,20.0,147828,姑姑宴（五道口店）,0,845,47
179,50,0,76738305,55.0,38.0,1894306,闪送超市•水果食品百货（大望路店）,0,230,46
180,52,0,80912754,35.0,80.0,2093254,麻辣九号（小龙虾麻辣香锅）,0,268,47
181,56,0,76348594,0.0,0.0,1876846,麦田斋西饼屋,0,10,0
182,31,0,82264135,3.0,0.0,2115350,骨汤麻辣烫,0,55,43
183,36,0,13774184,5.0,20.0,1053182,水果先生（圣熙8号店）,0,62,49
184,60,0,2596342,0.0,0.0,232978,凤城坊鲜花蛋糕店,0,1,0
185,89,0,59244466,0.0,0.0,828017,纽罗宾（东坝店）,0,48,48
186,60,0,91010116,0.0,0.0,2404800,淘花源花坊,0,6,0
