shopid,shopname,lat,lng,cateid,catename
90453375,养香堂熟食&烤脑花（知春路店）,39.9780339103339,116.332248300213,101327,烧烤炸鸡
24649498,重庆霸王麻辣香锅,40.0004265635918,116.347568433461,101303,无辣不欢
19002931,菲尔蒂蛋糕生活艺术馆,39.9654569615349,116.383774953447,101276,甜点饮品
66435049,千福麻辣小龙虾烧烤,39.9654990641972,116.320402057078,101327,烧烤炸鸡
16970509,乌巢比萨主义主题餐厅（五道口店）,39.9921637807747,116.327793669759,101052,汉堡披萨
45469047,西门烤翅（西苑店）,39.9953486012635,116.289707619633,101327,烧烤炸鸡
65874827,山西人家刀削面,39.9875665217524,116.315523428038,101301,暖胃粉面
17965554,沙县小吃（展春园店）,39.985721377717,116.336662432633,101301,暖胃粉面
26969121,果香缘水果蔬菜店,40.0139360550499,116.338357111792,100970,商超生鲜
6850984,烟酒超市,39.9999257992295,116.363696925197,100970,商超生鲜
67790988,春亮麻辣烫,40.0082711403899,116.345831955403,101303,无辣不欢
77012744,缘心蛋糕坊（五彩城店）,40.028923925433,116.328939377456,101276,甜点饮品
23632610,无名缘米粉（保福寺桥店）,39.9826860598784,116.327853733457,101301,暖胃粉面
69027105,品椒嗨辣（北京店）,40.0176175255615,116.307366809425,101303,无辣不欢
14727694,西部马华牛肉面（学院路餐厅）,39.9916906670954,116.345944836921,101301,暖胃粉面
23885653,咖啡陪你（林大店）,40.0000529996712,116.342081834553,101276,甜点饮品
4117988,江依林烤串吧（五道口店）,39.9978817867033,116.334006813376,101327,烧烤炸鸡
82678905,水果先生（融科资讯大厦店）,39.9827261389338,116.320001798967,101276,甜点饮品
83060482,川味居(原重庆美食),39.991828276442,116.332282472227,101303,无辣不欢
69815615,故香思潮汕砂锅粥（清华店）,39.9948605147913,116.328396944208,101301,暖胃粉面
58531773,吉吉熊比萨(五道口店),39.9867742182718,116.327682607933,101052,汉堡披萨
83473328,华莱士,39.9917791977607,116.332325381308,101052,汉堡披萨
83525974,江同学烤蹄(五道口店),39.9917261586795,116.332347338336,101327,烧烤炸鸡
77272732,全时汇超市,39.993033511466,116.32686968164,100970,商超生鲜
9013727,东北老家烧烤,40.0428655160772,116.32512038567,101327,烧烤炸鸡
58275431,王婆大虾（圣熙八号店）,40.007450308534,116.348138397794,101327,烧烤炸鸡
90063338,熊小姐酸辣粉（粉＊面）,39.9917755263373,116.332682573732,101303,无辣不欢
67616965,阿福冰室（五道口店）,39.9905977273054,116.333134702219,101276,甜点饮品
3464671,老杨家炉包,39.999681705866,116.365410446795,101301,暖胃粉面
67460383,韩时烤肉(五道口店),39.9922437260931,116.332565778374,100321,异国料理
82684949,麻辣诱惑·小龙虾外送（上地店）,39.994541458766,116.308499249761,101327,烧烤炸鸡
90294805,麻辣诱惑·小龙虾外送（清华店店）,40.0107236788995,116.338644890809,101327,烧烤炸鸡
45344515,饭点儿3烤场,40.0084141696363,116.345810980144,101327,烧烤炸鸡
43882490,程果园超市,40.0138889641093,116.336766620833,100970,商超生鲜
90420062,小张烧烤店,39.9949677913196,116.360046276108,101327,烧烤炸鸡
90371547,鲜花婚庆,40.0190891835258,116.309135753838,101346,鲜花蛋糕
58207001,聚点串吧（五道口店）,39.9918712070515,116.332318385466,101327,烧烤炸鸡
75154099,Wuli花甲（五道口店）,39.9918818642073,116.331969175251,101327,烧烤炸鸡
74946833,全时便利店,39.9998383639156,116.345748389647,100970,商超生鲜
22276735,张亮麻辣烫(志新桥店),39.987176494076,116.362785934652,101303,无辣不欢
4282712,赛百味（清华附中店）,40.0095446859837,116.312832732786,101052,汉堡披萨
76974838,薯小弟起司马铃薯（五道口店）,39.9934289219651,116.327105757065,101052,汉堡披萨
18434371,易达便利哈哈镜（机场店）,40.0477019162541,116.588221078872,100970,商超生鲜
21819731,U鼎冒菜（农大圣熙8号店）,40.0075995316165,116.347999655594,101303,无辣不欢
9005518,山西面食馆,40.022823650613,116.341129967413,101301,暖胃粉面
6112313,四云奶盖贡茶（漾漾好）五道口店,39.9909362807507,116.330711153865,101276,甜点饮品
18359003,可C可D（鲜榨果汁）,39.991328850197,116.333052794214,101276,甜点饮品
3157528,一志寿司铁板烧（学院路店）,39.9928840793486,116.346262037258,100321,异国料理
73503467,东林桂林米粉,39.9989237881526,116.343946048429,101301,暖胃粉面
21107781,炊二哥冒菜,40.0072398124744,116.347840020566,101303,无辣不欢
75192053,比萨壮,39.9719298776264,116.315671067484,101052,汉堡披萨
511694,赛百味（金码大厦店）,40.0005743107278,116.347117322643,101052,汉堡披萨
77298300,慧聚咖啡（中西式简餐）,39.9924002763688,116.327006447592,101052,汉堡披萨
22175634,沙家辣鸭脖,39.9893954748994,116.407650163962,101327,烧烤炸鸡
75128356,继光香香鸡,39.9767271377793,116.309069245124,101327,烧烤炸鸡
