origin,destination,count
5306282,75110565,9
5311691,2410459,14
5311691,66571319,10
5311691,69027105,11
5436342,17812756,14
5436342,2404204,10
5436342,2900014,9
5436342,514404,13
5436342,516103,10
5436342,57297262,9
5436342,57477733,9
5436342,58198003,10
5436342,6112313,17
5436342,65712689,10
5436342,67616965,14
5436342,69510868,10
5436342,8988572,13
5499610,24649498,20
5540268,43561400,9
5597966,24654040,23
5597966,32774211,9
56569601,17812756,9
56569601,18025909,10
56569601,21819731,10
56569601,23099282,13
56569601,2404204,9
56569601,40283174,9
56569601,6112313,12
56569601,66731457,9
56569601,69510868,17
56569601,90063338,9
565909,512916,11
565909,65944578,13
56833601,43560701,10
56833601,65768485,13
56867494,2404204,9
56867494,8988572,15
57177871,43561400,15
57289598,75642835,10
57297262,516103,10
57297262,5436342,9
57297262,58531773,10
57297262,65504764,11
57297262,67328901,10
57297262,67616965,10
57297262,68184085,10
57297262,69510868,12
57297262,69894203,9
57447829,23495578,12
57447829,69845020,9
57475398,17726841,9
57477733,2253889,11
57477733,4504628,12
57477733,514404,9
57477733,5306282,15
57477733,5436342,9
57477733,6040805,9
57477733,67328901,9
57477733,67616965,11
57566646,65801744,19
57567064,69779503,10
57773173,69843608,10
58183640,45343048,9
58198003,16983185,9
58198003,17233383,14
58198003,17726841,9
58198003,2056255,10
58198003,20707107,10
58198003,21819731,14
58198003,2404300,9
58198003,26233438,10
58198003,27289045,10
58198003,2938852,9
58198003,514404,10
58198003,5436342,10
58198003,58531773,9
58198003,68210945,11
58198003,69419758,9
58198003,69510868,9
58198003,73391928,9
58198003,75110565,10
58207001,2253889,11
58207001,4117988,10
58207001,4504628,12
58207001,5306282,14
58207001,59158340,9
58207001,59880422,9
58207001,67460383,10
58207001,67616965,9
58531773,57297262,10
58531773,58198003,9
58531773,66325573,11
58670973,19221001,10
58670973,32565422,9
58670973,39641424,13
58670973,67255663,9
58670973,73622292,9
58677804,20852950,9
58685726,45402421,30
58685726,67152499,10
58685726,67243637,15
58738754,68147168,12
58744072,27161142,15
58744072,48007845,10
58744072,48684547,13
58774651,21968140,22
58786706,38322451,16
58977328,67846538,9
59002124,67405206,9
59115286,21909401,9
59115286,25054648,9
59115286,68074685,9
59115286,68184085,9
59158340,58207001,9
59158340,69894203,9
59158340,8988572,9
59244466,59291362,10
5928428,21819731,9
5928428,23183794,24
5928428,3101473,9
5928428,3195202,11
5928428,36912008,14
5928428,4233334,18
5928428,5989921,10
59291362,59244466,10
59419275,69261511,10
59432772,21289179,11
59729580,48162367,9
59729580,83611892,14
59880422,16970509,15
59880422,2253889,22
59880422,3157528,10
59880422,4504628,9
59880422,58207001,9
5989921,21819731,9
5989921,2900014,12
5989921,2938852,12
5989921,4233334,9
5989921,512619,11
5989921,514404,11
5989921,5284183,9
5989921,5928428,10
6040805,2253889,12
6040805,2660929,11
6040805,4282712,9
6040805,57477733,9
6040805,66274137,11
6040805,67616965,10
6112313,15992876,9
6112313,17812756,18
6112313,18673674,11
6112313,2404204,13
6112313,25034529,9
6112313,2524246,9
6112313,514404,12
6112313,5436342,17
6112313,56569601,12
6112313,67616965,10
6112313,67630485,9
6112313,68164162,10
6112313,69510868,17
6112313,69843984,9
6112313,8988572,10
6526138,14922496,10
6526138,18216362,9
6526138,25042206,14
6526138,43560701,10
6526138,45409775,12
6526138,65768485,12
65504764,17812756,9
