shopid,shopname,num,lat,lng
67328901,THE SAUCE（T8餐厅）,1,39.9963472055171,116.337604003137
65978103,月卿云客（日式料理）,1,39.9987891374,116.345490863633
72981128,诚一拉面（圣熙八号店）,1,40.007167087746,116.347676357644
511846,伊喜外卖,1,39.9888557642903,116.358803113268
66274137,pizza里,1,39.9917754926006,116.33270053314
69084228,骨骨·汤,1,39.9917795583547,116.332133815109
65920425,饺子缘,1,40.0071850992238,116.348272165165
2404204,快乐柠檬（北京五道口店）,1,39.9911192905064,116.333356136666
65724082,食道乐韩式炸鸡,1,40.0006185195811,116.346991570997
83622471,瑰族-创意餐厅（五道口店）,1,39.9917709409804,116.332462072991
21799477,碳花烤翅,1,39.991680621788,116.345971783094
2404162,汉拿山（五道口店）,1,39.9901159513162,116.333026008667
