origin,destination,count
2384866,14199532,10
2384866,21959977,11
2384866,22376293,15
2384866,23584134,12
2384866,23684296,11
2384866,38089288,9
2384866,58041870,11
2384866,67262033,10
2384866,69203847,11
2384866,73396352,11
2384866,74597846,11
38322451,58786706,16
4858445,6839703,12
66979982,37767830,9
66979982,41247849,12
66979982,58747150,10
66979982,65446497,11
66979982,66868359,17
5398630,513623,9
5398630,2384866,14
5398630,3469897,17
5398630,3490447,9
5398630,5581169,9
5398630,23449334,9
5398630,23684296,11
5398630,58041870,15
5398630,79303690,9
5398630,79303794,10
5398630,79446907,12
20697180,516112,9
20697180,574191,9
20697180,585183,13
20697180,2281906,25
20697180,8988699,10
20697180,13836690,9
20697180,18498990,15
20697180,18768923,9
20697180,21959977,14
20697180,22376293,9
20697180,23584134,11
20697180,67496973,24
20697180,67506454,9
20697180,69203847,10
20697180,74466842,15
24991839,2697031,11
24991839,63058152,14
69763970,9073131,14
69763970,16832750,10
69763970,72351328,10
45301812,77281906,15
68223712,20932385,9
68223712,48010460,10
68223712,66340319,9
68223712,67551073,10
68223712,67647906,11
68223712,67903235,9
68223712,68190072,9
68223712,68190129,12
18398690,509084,9
18398690,511634,14
18398690,1944889,10
18398690,5356369,10
18398690,5530086,9
18398690,8291516,13
18398690,8988699,13
18398690,18768923,9
18398690,18845964,13
18398690,21993091,12
19119447,4076134,11
19119447,22985353,14
70448350,67647906,10
70448350,67891919,9
70448350,68190108,9
70448350,68190129,10
69735309,7315094,13
69735309,19164707,18
69735309,27350042,13
69735309,32738585,9
69735309,66596956,11
69735309,76383406,16
69735309,77275843,9
15180187,76836306,10
14199532,585183,11
14199532,2384866,10
45342618,509084,15
45342618,512017,20
45342618,512579,9
45342618,2005261,11
45342618,2666680,15
45342618,8112884,12
45342618,15130972,11
45342618,45464662,10
45342618,48008191,9
45342618,68181630,15
45342618,72351328,12
45342618,73414401,12
65900598,14922496,9
17160241,2398612,10
17160241,3056221,11
17160241,6840284,11
17160241,58738167,9
17160241,59262032,16
6020566,509084,11
6020566,512579,11
6020566,513758,18
6020566,2666680,9
6020566,3331159,13
6020566,5142838,13
6020566,6021814,13
6020566,6840284,12
6020566,9073131,10
6020566,18020781,11
6020566,21026729,9
6020566,23623253,10
6020566,45464662,9
6020566,72351328,13
512399,509084,10
512399,3099511,16
512399,3543058,10
512399,4534671,9
512399,5356369,14
512399,8988699,9
512399,9044082,9
57566646,65801744,19
574191,4534671,10
574191,8112884,9
574191,8988699,11
574191,17628209,10
574191,20697180,9
2792020,510278,13
2792020,1944880,9
2792020,2585788,9
2792020,8968906,11
2792020,35937614,11
2792020,45404917,9
2792020,48011181,18
75173661,21959977,15
75173661,23684296,9
75173661,38089288,12
57567064,6541847,10
57567064,20648674,9
57567064,69205811,9
57567064,69779503,10
57567064,69896182,12
57567064,76657497,9
77608089,83548959,34
67244554,67142049,10
77456418,48007666,12
2654032,513758,12
2654032,2116402,13
